#{"t_start": 1778693341.135875, "env_id": "None"}
r,l,t
-2.1488245,1000,137.920355
-2.3417552,1000,138.454852
-2.2514906,1000,138.596946
-2.6121852,1000,139.129795
-2.1826043,1000,139.270614
-2.3102374,1000,139.805646
-2.496744,1000,139.949762
-2.0242279,1000,140.501047
-2.772008,1000,140.635767
-2.4951806,1000,141.14051
-2.3896976,1000,141.275232
-1.9726045,1000,141.78967
-1.9628316,1000,141.927695
-2.1311402,1000,142.062623
-1.9962991,1000,142.567647
-2.0268874,1000,142.701805
-2.5409465,1000,143.20454
-2.244613,1000,143.338114
-1.9932784,1000,143.884414
-1.7027311,1000,144.027591
-2.180683,1000,144.627102
-1.7032462,1000,144.790083
-1.9605911,1000,145.350563
-2.0035315,1000,145.499258
-2.066471,1000,146.034193
-2.252623,1000,146.178807
-2.0750303,1000,146.762778
-1.9117099,1000,146.901698
-1.7417195,1000,147.545752
-2.0746975,1000,147.68696
-1.8381577,1000,148.203907
-2.5427105,1000,148.350989
-2.3079507,1000,148.880094
-1.8393977,1000,149.01857
-2.711687,1000,149.54974
-2.0178213,1000,149.68831
-2.1655257,1000,150.200192
-1.9698334,1000,150.336048
-1.818849,1000,150.855027
-2.255871,1000,151.005915
-2.0330777,1000,151.5183
-2.2180147,1000,151.655593
-2.2430587,1000,152.202062
-2.3495688,1000,152.352492
-2.2246504,1000,152.908952
-2.152031,1000,153.054103
-1.8418354,1000,153.586546
-2.0548327,1000,153.734965
-2.2698846,1000,154.347465
-2.1649532,1000,154.498803
-2.1925,1000,155.055902
-1.6930087,1000,155.195189
-2.0182807,1000,155.746083
-2.2108643,1000,155.889468
-2.011464,1000,156.44324
-1.9539248,1000,156.590548
-1.7765311,1000,156.73602
-2.1344347,1000,157.30284
-2.095556,1000,157.454406
-2.3766038,1000,158.03609
-2.1528335,1000,158.183123
-1.96197,1000,158.739339
-1.9557254,1000,158.88699
-2.253177,1000,159.447559
-1.7670524,1000,159.587888
-1.6974945,1000,160.150289
-1.9043323,1000,160.292745
-2.5515413,1000,160.862387
-2.2387455,1000,161.013715
-1.6114198,1000,161.632025
-2.1817863,1000,161.772449
-1.8346161,1000,162.337037
-2.5226822,1000,162.483926
-2.3627808,1000,163.059791
-2.1471915,1000,163.211235
-2.223548,1000,163.810439
-2.3337922,1000,163.956949
-2.2665625,1000,164.52164
-2.5810974,1000,164.668264
-2.2034233,1000,165.235859
-2.081276,1000,165.392474
-2.3715842,1000,165.933559
-1.9570316,1000,166.069026
-1.4780304,1000,166.574533
-1.7331346,1000,166.710883
-2.4441986,1000,167.232275
-1.9574723,1000,167.375307
-1.604106,1000,167.975713
-1.8107015,1000,168.121997
-2.1422791,1000,168.690526
-1.8051628,1000,168.847072
-1.7744286,1000,169.431105
-2.381728,1000,169.570713
-1.8226665,1000,170.079007
-2.4119222,1000,170.212877
-2.1343005,1000,170.798979
-2.3447883,1000,170.943718
-2.1836276,1000,171.085963
-1.5917691,1000,171.61699
-2.5690646,1000,171.765027
-1.7755998,1000,172.403837
-2.169481,1000,172.556356
-2.1622612,1000,173.148389
-2.26497,1000,173.458019
-1.887583,1000,174.31798
-2.4512813,1000,174.487485
-2.55125,1000,175.091324
-2.757588,1000,175.232942
-1.8785769,1000,175.803123
-1.9368635,1000,175.95004
